country,mean_happiness,std_happiness,min_happiness,max_happiness,response_count,avg_life_evaluation,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption
Botswana,5.8,0.6000000000000001,3.8,6.6,40,5.8,5.279999999999999,7.2299999999999995,6.195,6.3950000000000005,3.585,5.34
Brazil,5.85,0.6344793949090092,3.8,6.6,40,5.85,5.21,7.415000000000001,6.26,6.2700000000000005,3.3549999999999995,2.755
Bulgaria,5.58,0.5543302727454558,3.8,6.6,40,5.58,4.965,7.205,6.075,6.13,3.2649999999999997,2.6599999999999997
Burkina Faso,4.59,0.4401631399192691,3.2,5.6,40,4.59,3.915,6.885,5.74,4.91,3.435,2.495
Burundi,4.6,0.46630022242745883,3.2,5.6,40,4.6,3.63,6.825,5.6049999999999995,4.875,3.3049999999999997,2.36
Cambodia,5.529999999999999,0.587999651142405,3.8,6.4,40,5.529999999999999,4.9,7.109999999999999,6.005,5.585,3.405,2.465
Cameroon,5.05,0.5038314736557788,3.6,6.2,40,5.05,4.335,6.93,5.87,5.455,3.335,2.2
Canada,6.425,0.6538838601495702,4.2,7.2,40,6.425,5.59,7.590000000000001,6.640000000000001,6.859999999999999,3.915,6.1049999999999995
Central African Republic,4.245,0.3658148613991957,3.2,5.2,40,4.245,3.535,6.565,5.3,4.775,3.185,1.775
Chad,4.525,0.4908130355822221,3.2,5.6,40,4.525,3.8,6.695,5.445,4.965,3.1149999999999998,2.0949999999999998
Chile,5.95,0.649654740651742,3.8,6.6,40,5.95,5.29,7.445,6.33,6.4799999999999995,3.465,3.91
China,5.825,0.6867799259345504,3.8,6.6,40,5.825,5.46,7.109999999999999,6.1850000000000005,5.415,3.315,3.94
Colombia,5.720000000000001,0.6247871432407797,3.8,6.6,40,5.720000000000001,5.035,7.340000000000001,6.225,6.1450000000000005,3.475,2.77
Comoros,4.96,0.52759736007582,3.4,6.2,40,4.96,3.995,7.0,5.795,5.49,3.3950000000000005,2.7049999999999996
Congo,4.7,0.4629891730472479,3.4,5.6,40,4.7,3.9,6.75,5.5600000000000005,5.285,3.1900000000000004,1.985
Costa Rica,6.2700000000000005,0.631725354150776,4.2,7.2,40,6.2700000000000005,5.34,7.609999999999999,6.565,6.57,3.6,4.455
Croatia,6.0,0.66332495807108,3.8,6.8,40,6.0,5.265,7.470000000000001,6.335,6.409999999999999,3.4549999999999996,3.3649999999999998
Cuba,4.515,0.38733143562799155,3.4,5.6,40,4.515,3.1100000000000003,7.034999999999999,6.055,3.7600000000000002,3.15,2.395
Cyprus,6.25,0.6312380996593429,4.2,7.2,40,6.25,5.654999999999999,7.55,6.495,6.595000000000001,3.565,3.6100000000000003
Czechia,6.4,0.68761945349191,4.2,7.2,40,6.4,5.71,7.56,6.540000000000001,6.81,3.5450000000000004,4.59
Côte d’Ivoire,5.535,0.5323147324271369,3.8,6.2,40,5.535,4.8149999999999995,7.15,6.1049999999999995,6.055,3.53,3.02
DR Congo,4.569999999999999,0.49624228987099656,3.2,5.8,40,4.569999999999999,3.8549999999999995,6.7700000000000005,5.55,5.220000000000001,3.2600000000000002,1.64
Denmark,7.029999999999999,0.663402264167499,4.8,7.8,40,7.029999999999999,6.675,7.995,6.915000000000001,7.390000000000001,4.335,8.39
Djibouti,5.14,0.5438702711078001,3.6,6.2,40,5.14,4.415,7.01,5.835,5.335,3.275,2.6149999999999998
Dominican Republic,5.82,0.6305065118921942,3.8,6.6,40,5.82,5.1,7.305,6.275,6.2700000000000005,3.4299999999999997,3.16
Ecuador,5.455,0.5429973792258614,3.8,6.3,40,5.455,4.82,7.225,6.1899999999999995,5.955,3.375,2.505
Egypt,4.95,0.4568565953534533,3.6,5.8,40,4.95,3.715,7.0,5.945,4.715,3.25,2.34
El Salvador,5.92,0.5169932797261985,4.1,6.6,40,5.92,5.025,7.390000000000001,6.2299999999999995,6.12,3.2600000000000002,3.29
Estonia,6.415000000000001,0.6673906325460797,4.2,7.2,40,6.415000000000001,5.665,7.495,6.545,7.109999999999999,3.4850000000000003,7.220000000000001
Eswatini,5.1049999999999995,0.4935221398925306,3.6,6.2,40,5.1049999999999995,4.4399999999999995,7.0200000000000005,5.715,5.485,3.4299999999999997,2.755
Ethiopia,4.825,0.5082650227325635,3.4,6.1,40,4.825,3.915,6.859999999999999,5.82,5.13,3.2649999999999997,2.4899999999999998
Finland,6.92,0.6729955994826989,4.6,7.6,40,6.92,6.255,7.88,6.8,7.24,3.78,8.32
France,6.38,0.6917832771642449,4.2,7.2,40,6.38,5.795,7.545,6.51,6.515000000000001,3.5450000000000004,5.115
Gabon,5.4,0.4877998748961686,3.8,6.2,40,5.4,4.925,7.109999999999999,6.055,5.805,3.45,2.5300000000000002
Gambia,5.255,0.5218065266763642,3.6,6.3,40,5.255,4.3,7.125,5.9350000000000005,5.93,3.6450000000000005,2.995
Georgia,5.625,0.5904148910636855,3.8,6.6,40,5.625,4.845000000000001,7.2299999999999995,6.14,6.0600000000000005,3.2299999999999995,3.45
Germany,6.505,0.6621449217776251,4.2,7.2,40,6.505,6.01,7.615,6.56,6.834999999999999,3.7350000000000003,6.445
Ghana,5.34,0.49240383676565563,3.8,6.3,40,5.34,4.345000000000001,7.1450000000000005,6.1450000000000005,6.005,3.685,2.71
Greece,5.805,0.6097288174010072,3.8,6.6,40,5.805,4.91,7.4,6.37,6.235,3.41,3.1350000000000002
Guatemala,5.5200000000000005,0.5335896819822784,3.8,6.2,40,5.5200000000000005,4.85,7.19,6.154999999999999,5.9799999999999995,3.335,2.34
Guinea,4.925,0.4928982835725016,3.6,6.1,40,4.925,4.11,6.88,5.715,5.2299999999999995,3.2550000000000003,2.165
Guyana,5.63,0.541697237796075,3.8,6.3,40,5.63,5.195,7.159999999999999,6.16,6.15,3.44,2.975
Haiti,3.9899999999999998,0.42715516906803114,2.8,4.8,40,3.9899999999999998,3.41,6.584999999999999,5.675,4.01,3.0949999999999998,1.455
Honduras,5.265,0.5475118544554363,3.6,6.2,40,5.265,4.5,7.115,6.1,5.755,3.2950000000000004,2.1149999999999998
Hong Kong SAR of China,6.025,0.5555085450195556,4.2,6.6,40,6.025,5.765,7.2700000000000005,6.415000000000001,5.43,3.6149999999999998,5.305
Hungary,5.64,0.5934687255493151,3.8,6.4,40,5.64,4.765,7.2299999999999995,6.15,5.995,3.2550000000000003,2.62
Iceland,6.959999999999999,0.7340788751025293,4.3,7.6,40,6.959999999999999,6.32,7.984999999999999,6.925,7.25,4.085,7.784999999999999
India,5.68,0.6932642963656677,3.6,6.6,40,5.68,5.1850000000000005,7.2,6.0,6.029999999999999,3.415,2.92
Indonesia,5.875,0.6601281926786877,3.8,6.6,40,5.875,5.29,7.215000000000001,6.14,6.225,3.6399999999999997,3.315
Iran,4.8100000000000005,0.43193066870054814,3.4,5.6,40,4.8100000000000005,3.6950000000000003,7.040000000000001,5.96,3.6,3.285,1.845
Iraq,5.0,0.4150996173302167,3.8,5.8,40,5.0,4.55,6.94,5.875,5.16,3.47,2.02
Ireland,6.534999999999999,0.6635375281640452,4.2,7.2,40,6.534999999999999,5.8950000000000005,7.654999999999999,6.595000000000001,6.784999999999999,3.9799999999999995,6.0649999999999995
Israel,5.59,0.4366539438350083,4.2,6.2,40,5.59,5.385,7.325,6.43,5.945,3.775,3.2049999999999996
Italy,6.13,0.7024499252159524,3.8,6.8,40,6.13,5.425,7.525,6.534999999999999,6.435,3.465,3.7449999999999997
Jamaica,5.59,0.5462224586731803,3.8,6.3,40,5.59,4.86,7.24,6.24,6.085,3.625,3.055
Japan,6.2,0.6710114829542115,4.2,7.2,40,6.2,5.65,7.275,6.455,6.18,3.37,6.3100000000000005
Jordan,5.375,0.5021747576088298,3.8,6.3,40,5.375,4.51,7.1450000000000005,6.12,5.475,3.535,3.22
Kazakhstan,5.84,0.6644064248905918,3.8,6.6,40,5.84,5.295,7.265000000000001,6.165,5.91,3.415,2.96
Kenya,5.445,0.5276702544543297,3.8,6.3,40,5.445,4.63,7.154999999999999,6.13,5.955,3.625,2.495
Kosovo,5.5649999999999995,0.5595556845413725,3.8,6.3,40,5.5649999999999995,4.785,7.284999999999999,6.265,6.16,3.2950000000000004,3.105
Kuwait,6.625,0.683786591389523,4.2,7.2,40,6.625,6.8950000000000005,7.659999999999999,6.495,6.42,4.18,3.7
Kyrgyzstan,5.41,0.5022002869424991,3.8,6.2,40,5.41,4.6049999999999995,7.140000000000001,6.005,5.8950000000000005,3.3649999999999998,2.58
Lao PDR,5.29,0.522224040731513,3.8,6.2,40,5.29,4.445,7.055,5.925,5.465,3.415,2.62
Latvia,5.99,0.6109261569377834,4.1,6.8,40,5.99,5.29,7.32,6.33,6.63,3.3299999999999996,4.95
Lebanon,4.515,0.43356009845736354,3.2,5.6,40,4.515,3.4200000000000004,6.99,6.0200000000000005,5.035,3.25,1.31
Lesotho,5.045,0.4924819403170653,3.6,6.1,40,5.045,4.3100000000000005,7.040000000000001,5.635,5.945,3.47,2.77
Liberia,4.8,0.45741749991749253,3.4,5.8,40,4.8,3.9,6.85,5.470000000000001,5.61,3.31,2.255
Libya,4.725,0.4354484867528934,3.4,5.8,40,4.725,4.15,6.88,5.89,4.68,3.13,1.725
Lithuania,6.235,0.6596619180715576,4.2,7.2,40,6.235,5.575,7.459999999999999,6.404999999999999,6.859999999999999,3.465,5.385
Luxembourg,6.984999999999999,0.7388660750928256,4.3,7.6,40,6.984999999999999,6.965000000000001,7.83,6.815,7.195,4.14,7.7299999999999995
Madagascar,4.93,0.5482840364404064,3.4,6.2,40,4.93,3.97,6.93,5.8549999999999995,5.625,3.1550000000000002,2.455
Malawi,4.9,0.5565461254411802,3.4,6.2,40,4.9,3.905,6.965000000000001,5.805,5.735,3.375,2.635
Malaysia,6.0,0.6755814210073102,3.8,6.8,40,6.0,5.505,7.325,6.2700000000000005,6.245,3.6350000000000002,3.88
Maldives,6.12,0.5979451994442812,4.2,6.8,40,6.12,5.5649999999999995,7.435,6.335,6.175,3.6450000000000005,3.575
Mali,4.654999999999999,0.39415602793687493,3.4,5.6,40,4.654999999999999,3.9200000000000004,6.8950000000000005,5.654999999999999,4.995,3.3549999999999995,2.175
Malta,6.415000000000001,0.6154214732551909,4.2,7.2,40,6.415000000000001,5.885,7.590000000000001,6.56,6.534999999999999,3.66,3.875
Mauritania,5.0200000000000005,0.516000397535128,3.4,5.8,40,5.0200000000000005,4.3549999999999995,6.904999999999999,5.795,5.38,3.2700000000000005,2.575
Mauritius,6.1450000000000005,0.6189113684941342,4.2,6.8,40,6.1450000000000005,5.5200000000000005,7.43,6.409999999999999,6.45,3.6149999999999998,4.3950000000000005
Mexico,5.84,0.6384275554749682,3.8,6.6,40,5.84,5.18,7.42,6.285,6.305,3.435,2.6849999999999996
Mongolia,5.54,0.5687593335385184,3.8,6.3,40,5.54,4.83,7.175,5.975,6.15,3.315,2.875
Montenegro,5.835,0.6367183493588484,3.8,6.6,40,5.835,5.13,7.390000000000001,6.335,6.345000000000001,3.425,3.005
Morocco,5.555,0.5839520528262576,3.8,6.6,40,5.555,4.8549999999999995,7.18,6.125,5.865,3.345,3.1
Mozambique,4.97,0.5520126345636927,3.4,6.2,40,4.97,4.135,6.935,5.865,5.625,3.22,2.32
Myanmar,4.32,0.37016974623224,3.2,5.2,40,4.32,3.7700000000000005,6.705,5.64,3.4299999999999997,3.345,1.5
Namibia,5.62,0.5534043822164858,3.8,6.4,40,5.62,5.04,7.225,6.16,6.2700000000000005,3.45,3.5
Nepal,5.4399999999999995,0.5596702325751918,3.8,6.3,40,5.4399999999999995,4.745,7.19,6.025,6.0200000000000005,3.4549999999999996,2.675
Netherlands,6.8,0.6633249580710802,4.6,7.6,40,6.8,6.385,7.725,6.705,7.13,4.0200000000000005,7.12
New Zealand,6.57,0.6595258592158147,4.2,7.2,40,6.57,5.775,7.6450000000000005,6.63,6.909999999999999,3.965,7.459999999999999
Nicaragua,5.29,0.4855871412989348,3.8,6.2,40,5.29,4.535,7.140000000000001,6.14,4.585,3.38,2.0149999999999997
Niger,4.51,0.4834703607705335,3.2,5.6,40,4.51,3.775,6.8549999999999995,5.529999999999999,5.09,3.31,2.355
Nigeria,4.86,0.46232411763133197,3.4,5.6,40,4.86,3.9200000000000004,6.9,5.925,5.51,3.46,1.9449999999999998
North Cyprus,5.71,0.608402700646411,3.8,6.4,40,5.71,4.715,7.365,6.3100000000000005,6.17,3.435,3.19
North Macedonia,5.595000000000001,0.5733169347684645,3.8,6.4,40,5.595000000000001,4.775,7.24,6.2,6.0600000000000005,3.185,2.725
Norway,6.975,0.684536152142269,4.6,7.6,40,6.975,6.665000000000001,7.909999999999999,6.93,7.35,4.125,8.165000000000001
Oman,6.425,0.6993586805799754,4.2,7.2,40,6.425,6.14,7.62,6.575,6.245,4.0600000000000005,6.15
Pakistan,5.0,0.5835347637568996,3.2,6.2,40,5.0,4.175,6.93,5.79,5.205,3.435,2.1100000000000003
Panama,6.0,0.6539818863640705,4.0,6.8,40,6.0,5.415,7.445,6.375,6.425,3.565,2.9899999999999998
Paraguay,5.745,0.6012593620999349,3.8,6.4,40,5.745,5.075,7.359999999999999,6.2700000000000005,6.3100000000000005,3.37,2.665
Peru,5.66,0.590870717778606,3.8,6.6,40,5.66,5.055,7.234999999999999,6.2700000000000005,6.135,3.3850000000000002,2.415
Philippines,5.75,0.6156089334751071,3.8,6.6,40,5.75,5.0600000000000005,7.35,6.08,6.125,3.6350000000000002,2.82
Poland,6.11,0.696437822799452,3.8,7.1,40,6.11,5.46,7.49,6.36,6.49,3.505,3.91
Portugal,6.13,0.6077280093375106,4.2,6.8,40,6.13,5.255,7.529999999999999,6.495,6.515000000000001,3.4,4.24
Puerto Rico,5.7700000000000005,0.6186005711819761,3.8,6.6,40,5.7700000000000005,5.0649999999999995,7.435,6.325,6.205,3.575,2.79
Qatar,6.8950000000000005,0.7735863865373391,4.2,7.6,40,6.8950000000000005,7.325,7.705,6.784999999999999,6.575,4.5,6.035
Republic of Korea,6.085,0.629427904671764,4.2,6.8,40,6.085,5.654999999999999,7.205,6.435,6.2,3.44,4.3549999999999995
Republic of Moldova,5.37,0.47942272979715267,3.8,6.2,40,5.37,4.515,7.1,6.1049999999999995,6.07,3.255,2.6849999999999996
Romania,5.865,0.6478960030508221,3.8,6.6,40,5.865,5.215,7.3549999999999995,6.21,6.455,3.3299999999999996,3.1350000000000002
Russian Federation,5.36,0.49031648596621374,3.8,6.2,40,5.36,4.76,7.095000000000001,6.045,4.42,3.22,2.16
Rwanda,5.545,0.5813115145282062,3.8,6.6,40,5.545,4.715,7.165000000000001,6.13,5.785,3.585,6.04
Saudi Arabia,6.305,0.7669286063118831,3.8,7.2,40,6.305,6.2700000000000005,7.484999999999999,6.45,5.86,4.3100000000000005,4.4
Senegal,5.43,0.529247167307076,3.8,6.2,40,5.43,4.615,7.25,6.085,5.96,3.6,3.16
Serbia,5.62,0.5796550698475775,3.8,6.4,40,5.62,4.904999999999999,7.315,6.21,6.085,3.18,2.59
Sierra Leone,4.74,0.4711143363863151,3.4,5.8,40,4.74,3.905,6.925,5.575,5.575,3.5149999999999997,2.305
Singapore,6.63,0.6965850768073989,4.2,7.4,40,6.63,6.279999999999999,7.45,6.640000000000001,6.565,3.87,8.209999999999999
Slovakia,6.0200000000000005,0.6156922308076682,4.0,6.8,40,6.0200000000000005,5.38,7.470000000000001,6.33,6.49,3.37,3.5549999999999997
Slovenia,6.575,0.6577935144802717,4.2,7.2,40,6.575,5.89,7.715000000000001,6.635,6.9,3.66,5.1850000000000005
Somalia,4.535,0.4554794599776575,3.2,5.6,40,4.535,3.8649999999999998,6.945,5.535,4.68,3.745,1.7449999999999999
Somaliland Region,4.96,0.5227148067835551,3.6,6.2,40,4.96,4.095000000000001,7.06,5.755,5.365,3.6100000000000003,2.695
South Africa,5.3950000000000005,0.5048228935440168,3.8,6.2,40,5.3950000000000005,4.915,7.140000000000001,6.2,5.95,3.47,2.2350000000000003
South Sudan,4.205,0.3902333292814073,3.2,5.2,40,4.205,3.4450000000000003,6.545,5.1450000000000005,4.6450000000000005,3.45,1.5150000000000001
Spain,6.33,0.6779304858093811,4.2,7.2,40,6.33,5.6450000000000005,7.56,6.57,6.609999999999999,3.5100000000000002,4.35
Sri Lanka,5.225,0.5691874550395141,3.6,6.2,40,5.225,4.295,7.115,6.12,5.785,3.3300000000000005,2.3600000000000003
State of Palestine,3.7,0.436771371279335,2.8,4.6,40,3.7,3.37,6.865,5.615,2.8899999999999997,3.465,2.0
Sudan,3.5100000000000002,0.4174403074170129,2.8,4.2,40,3.5100000000000002,2.7399999999999998,6.435,5.265,3.435,2.95,1.475
Suriname,5.4799999999999995,0.5412236847395695,3.8,6.2,40,5.4799999999999995,4.58,7.220000000000001,6.13,6.115,3.3950000000000005,2.73
Swaziland,5.11,0.5143080988209505,3.6,6.2,40,5.11,4.415,7.055,5.720000000000001,5.38,3.5450000000000004,2.5949999999999998
Sweden,6.790000000000001,0.68155177390483,4.6,7.6,40,6.790000000000001,6.275,7.859999999999999,6.715000000000001,7.215000000000001,4.01,7.415000000000001
Switzerland,6.970000000000001,0.6854532470170038,4.6,7.6,40,6.970000000000001,6.755,7.82,6.915000000000001,7.205,4.135,7.840000000000001
Syria,4.01,0.29682076090220516,3.2,4.6,40,4.01,2.995,6.67,5.6049999999999995,3.425,2.93,1.455
Taiwan Province of China,6.409999999999999,0.703033719146109,4.2,7.2,40,6.409999999999999,5.875,7.529999999999999,6.6,6.63,3.8299999999999996,6.365
Tajikistan,5.09,0.5212411224110275,3.6,6.2,40,5.09,4.205,7.0200000000000005,5.99,4.915,3.185,2.415
Tanzania,5.455,0.5813115145282064,3.6,6.2,40,5.455,4.6850000000000005,7.154999999999999,5.99,5.9350000000000005,3.59,3.2649999999999997
Thailand,5.965,0.6803279752047201,3.8,6.8,40,5.965,5.345000000000001,7.33,6.245,6.16,3.665,3.3649999999999998
Togo,4.99,0.4855871412989352,3.6,5.8,40,4.99,4.154999999999999,6.915000000000001,5.88,5.45,3.3950000000000005,2.585
Trinidad and Tobago,5.715,0.5595556845413724,3.8,6.4,40,5.715,5.325,7.305,6.3100000000000005,6.21,3.625,3.0
Tunisia,5.165,0.4953889950435481,3.8,6.2,40,5.165,4.225,7.034999999999999,6.11,5.39,3.18,2.52
Turkmenistan,4.84,0.45109553255067786,3.6,5.8,40,4.84,4.1850000000000005,6.76,5.95,3.3649999999999998,3.0149999999999997,1.9649999999999999
Türkiye,5.295,0.5353886678302274,3.6,6.2,40,5.295,4.095000000000001,7.18,6.12,5.4,3.245,2.29
Uganda,5.175,0.5452592890613531,3.4,6.1,40,5.175,4.385,7.034999999999999,5.95,5.705,3.5149999999999997,2.325
Ukraine,4.665,0.48386796249411385,3.6,5.6,40,4.665,4.42,7.045,5.7700000000000005,5.04,4.045,2.335
United Arab Emirates,6.904999999999999,0.7355270219373318,4.2,7.6,40,6.904999999999999,7.065,7.709999999999999,6.7299999999999995,6.659999999999999,4.595000000000001,7.015000000000001
United Kingdom,6.2,0.6555483122879575,4.2,7.2,40,6.2,5.475,7.425,6.43,6.555,3.835,4.21
United States,6.25,0.6683312551921141,4.2,7.2,40,6.25,5.779999999999999,7.409999999999999,6.484999999999999,6.6049999999999995,3.915,3.45
Uruguay,6.335,0.665081448646204,4.2,7.2,40,6.335,5.61,7.635,6.49,6.685,3.54,6.995
Uzbekistan,5.6,0.5537749241945381,3.8,6.3,40,5.6,4.8549999999999995,7.18,6.05,5.5600000000000005,3.4200000000000004,2.8
Venezuela,4.725,0.5367279786604411,3.2,5.8,40,4.725,3.6700000000000004,7.040000000000001,5.9799999999999995,4.865,3.13,1.49
Viet Nam,5.970000000000001,0.6710879036005449,3.8,6.8,40,5.970000000000001,5.41,7.290000000000001,6.215,5.970000000000001,3.59,3.5549999999999997
Yemen,3.95,0.3441824203261093,3.0,4.8,40,3.95,3.29,6.625,5.26,3.8649999999999998,3.05,1.5150000000000001
Zambia,5.220000000000001,0.47458483881258706,3.8,6.2,40,5.220000000000001,4.345000000000001,7.025,5.925,5.8950000000000005,3.54,2.7399999999999998
Zimbabwe,4.705,0.4266446308412203,3.4,5.6,40,4.705,3.685,6.965000000000001,5.865,5.075,3.3049999999999997,1.9100000000000001
