country,real_overall_happiness,real_gdp,real_social_support,real_health,real_freedom,real_generosity,real_corruption,real_life_evaluation,approach,llm_overall_happiness,llm_gdp,llm_social_support,llm_health,llm_freedom,llm_generosity,llm_corruption,llm_life_evaluation,diff_overall_happiness,diff_life_evaluation,diff_gdp,diff_social_support,diff_health,diff_freedom,diff_generosity,diff_corruption,region,income_level,global_north_south,world_123,east_west,continent,developed_country_type,developed_east_vs_west,economic_model
Belgium,6.91,1.783,1.646,0.852,0.895,0.119,0.306,6.91,few_shot,6.595000000000001,6.08,7.665000000000001,6.609999999999999,6.859999999999999,3.82,6.19,6.595000000000001,-0.3149999999999995,-0.3149999999999995,4.297000000000001,6.019000000000001,5.757999999999999,5.965,3.701000000000001,5.884,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
Belize,6.711,1.256,1.54,0.525,1.018,0.072,0.082,6.711,few_shot,5.83,5.025,7.3,6.285,6.335,3.71,3.335,5.83,-0.8810000000000002,-0.8810000000000002,3.769,5.76,5.76,5.317,3.638,3.253,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Benin,4.357,0.855,0.228,0.357,0.679,0.092,0.238,4.357,few_shot,5.255,4.46,7.045,5.945,5.904999999999999,3.415,3.035,5.255,0.8979999999999997,0.8979999999999997,3.605,6.817,5.588,5.225999999999999,3.323,2.797,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Bolivia,5.868,1.173,1.356,0.346,0.817,0.067,0.052,5.868,few_shot,5.555,4.89,7.295,6.09,6.07,3.35,2.58,5.555,-0.3130000000000006,-0.3130000000000006,3.717,5.939,5.744,5.253,3.283,2.528,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Bosnia and Herzegovina,6.136,1.405,1.545,0.616,0.749,0.178,0.009,6.136,few_shot,5.41,4.68,7.225,6.14,5.855,3.2700000000000005,2.26,5.41,-0.726,-0.726,3.2749999999999995,5.68,5.524,5.106,3.0920000000000005,2.251,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Botswana,3.438,1.388,1.146,0.094,0.697,0.018,0.083,3.438,few_shot,5.8,5.279999999999999,7.229999999999999,6.195,6.3950000000000005,3.585,5.34,5.8,2.362,2.362,3.892,6.084,6.101,5.698,3.567,5.257,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Brazil,6.494,1.391,1.519,0.48,0.83,0.089,0.127,6.494,few_shot,5.85,5.21,7.415000000000001,6.26,6.2700000000000005,3.3549999999999995,2.755,5.85,-0.6440000000000001,-0.6440000000000001,3.819,5.896000000000001,5.779999999999999,5.44,3.266,2.628,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Bulgaria,5.554,1.573,1.725,0.463,0.708,0.055,0.0,5.554,few_shot,5.58,4.965,7.205,6.075,6.13,3.265,2.66,5.58,0.0259999999999998,0.0259999999999998,3.392,5.48,5.612,5.422,3.2099999999999995,2.66,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Burkina Faso,4.383,0.724,0.828,0.296,0.671,0.142,0.218,4.383,few_shot,4.59,3.915,6.885,5.74,4.91,3.435,2.495,4.59,0.2069999999999998,0.2069999999999998,3.191,6.057,5.444,4.239,3.293,2.277,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Cambodia,4.341,1.049,1.215,0.481,0.988,0.138,0.078,4.341,few_shot,5.529999999999999,4.9,7.109999999999999,6.005,5.585,3.405,2.465,5.529999999999999,1.1889999999999992,1.1889999999999992,3.851,5.895,5.524,4.597,3.267,2.387,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Cameroon,4.887,0.944,0.986,0.302,0.662,0.099,0.06,4.887,few_shot,5.05,4.335,6.93,5.87,5.455,3.335,2.2,5.05,0.1630000000000002,0.1630000000000002,3.391,5.944,5.5680000000000005,4.793,3.236,2.14,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Canada,6.803,1.749,1.647,0.832,0.813,0.168,0.323,6.803,few_shot,6.425,5.59,7.590000000000001,6.640000000000001,6.859999999999999,3.915,6.105,6.425,-0.3780000000000001,-0.3780000000000001,3.841,5.9430000000000005,5.808000000000001,6.047,3.747,5.781999999999999,North America,High Income,Global North,World 1,West,North America,Anglo-Saxon,Developed West,Market Liberal
Chad,4.384,0.592,0.902,0.242,0.477,0.175,0.111,4.384,few_shot,4.525,3.8,6.695,5.445,4.965,3.115,2.095,4.525,0.141,0.141,3.208,5.793,5.203,4.488,2.94,1.984,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Chile,6.361,1.537,1.577,0.711,0.779,0.093,0.085,6.361,few_shot,5.95,5.29,7.445,6.33,6.48,3.465,3.91,5.95,-0.4109999999999996,-0.4109999999999996,3.753,5.868,5.619,5.701,3.372,3.825,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
China,5.921,1.445,1.307,0.789,0.764,0.079,0.154,5.921,few_shot,5.825,5.46,7.109999999999999,6.1850000000000005,5.415,3.315,3.94,5.825,-0.096,-0.096,4.015,5.802999999999999,5.396000000000001,4.651,3.236,3.786,East Asia,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Colombia,6.004,1.38,1.513,0.587,0.777,0.039,0.051,6.004,few_shot,5.720000000000001,5.035,7.340000000000001,6.225,6.1450000000000005,3.475,2.77,5.720000000000001,-0.2839999999999989,-0.2839999999999989,3.655,5.827000000000001,5.638,5.368,3.436,2.719,Latin America,Lower Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Comoros,3.754,0.835,0.501,0.428,0.26,0.117,0.164,3.754,few_shot,4.96,3.995,7.0,5.795,5.49,3.3950000000000005,2.705,4.96,1.206,1.206,3.16,6.499,5.367,5.23,3.2780000000000005,2.5409999999999995,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Congo,5.03,1.023,0.796,0.336,0.626,0.082,0.126,5.03,few_shot,4.7,3.9,6.75,5.5600000000000005,5.285,3.1900000000000004,1.985,4.7,-0.33,-0.33,2.877,5.954,5.224,4.659,3.1080000000000005,1.859,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Costa Rica,7.274,1.492,1.6,0.68,0.948,0.067,0.118,7.274,few_shot,6.2700000000000005,5.34,7.609999999999999,6.565,6.57,3.6,4.455,6.2700000000000005,-1.0039999999999996,-1.0039999999999996,3.848,6.01,5.885000000000001,5.622,3.533,4.337,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Côte d’Ivoire,5.102,1.038,0.76,0.206,0.661,0.1,0.162,5.102,few_shot,5.535,4.815,7.15,6.105,6.055,3.53,3.02,5.535,0.4329999999999998,0.4329999999999998,3.7769999999999992,6.390000000000001,5.898999999999999,5.394,3.43,2.858,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Croatia,5.87,1.644,1.673,0.669,0.478,0.022,0.065,5.87,few_shot,6.0,5.265,7.470000000000001,6.335,6.409999999999999,3.455,3.365,6.0,0.1299999999999999,0.1299999999999999,3.621,5.797000000000001,5.666,5.932,3.433,3.3,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Cyprus,5.942,1.72,1.348,0.84,0.612,0.108,0.041,5.942,few_shot,6.25,5.654999999999999,7.55,6.495,6.595000000000001,3.565,3.61,6.25,0.3079999999999998,0.3079999999999998,3.935,6.202,5.655,5.9830000000000005,3.457,3.5690000000000004,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Czechia,6.775,1.692,1.716,0.658,0.916,0.118,0.084,6.775,few_shot,6.4,5.71,7.56,6.540000000000001,6.81,3.5450000000000004,4.59,6.4,-0.375,-0.375,4.018,5.843999999999999,5.882000000000001,5.893999999999999,3.4270000000000005,4.506,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Denmark,7.521,1.825,1.748,0.82,0.955,0.15,0.488,7.521,few_shot,7.029999999999999,6.675,7.995,6.915000000000001,7.390000000000001,4.335,8.39,7.029999999999999,-0.4910000000000005,-0.4910000000000005,4.85,6.247,6.095000000000001,6.4350000000000005,4.185,7.902000000000001,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Social Market
Dominican Republic,5.846,1.457,1.5,0.615,0.866,0.063,0.186,5.846,few_shot,5.82,5.1,7.305,6.275,6.2700000000000005,3.43,3.16,5.82,-0.0259999999999998,-0.0259999999999998,3.643,5.805,5.66,5.404000000000001,3.3669999999999995,2.974,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
DR Congo,3.469,0.544,0.929,0.278,0.6,0.151,0.061,3.469,few_shot,4.569999999999999,3.855,6.7700000000000005,5.55,5.220000000000001,3.26,1.64,4.569999999999999,1.1009999999999995,1.1009999999999995,3.3109999999999995,5.841,5.272,4.620000000000001,3.1090000000000004,1.579,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Ecuador,5.965,1.299,1.32,0.702,0.712,0.058,0.066,5.965,few_shot,5.455,4.82,7.225,6.19,5.955,3.375,2.505,5.455,-0.5099999999999998,-0.5099999999999998,3.5210000000000004,5.904999999999999,5.488,5.243,3.317,2.439,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Egypt,3.817,1.347,1.075,0.473,0.593,0.018,0.103,3.817,few_shot,4.95,3.715,7.0,5.945,4.715,3.25,2.34,4.95,1.133,1.133,2.368,5.925,5.472,4.122,3.232,2.237,Africa,Lower Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
El Salvador,6.492,1.222,1.228,0.559,0.955,0.054,0.264,6.492,few_shot,5.92,5.025,7.390000000000001,6.23,6.12,3.26,3.29,5.92,-0.5720000000000001,-0.5720000000000001,3.803,6.162000000000001,5.670999999999999,5.165,3.2060000000000004,3.026,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Estonia,6.417,1.65,1.716,0.642,0.902,0.128,0.378,6.417,few_shot,6.415000000000001,5.665,7.495,6.545,7.109999999999999,3.4850000000000003,7.220000000000001,6.415000000000001,-0.0019999999999988,-0.0019999999999988,4.015000000000001,5.779,5.903,6.207999999999999,3.357,6.8420000000000005,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Eswatini,3.774,1.183,1.152,0.038,0.428,0.054,0.13,3.774,few_shot,5.105,4.44,7.0200000000000005,5.715,5.485,3.43,2.755,5.105,1.3309999999999995,1.3309999999999995,3.257,5.868,5.677,5.057,3.376,2.625,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Ethiopia,3.898,0.757,1.051,0.416,0.54,0.182,0.1,3.898,few_shot,4.825,3.915,6.859999999999999,5.82,5.13,3.265,2.49,4.825,0.927,0.927,3.158,5.808999999999999,5.404,4.59,3.083,2.39,Africa,Low Income,Global South,World 3,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Finland,7.736,1.749,1.783,0.824,0.986,0.11,0.502,7.736,few_shot,6.92,6.255,7.88,6.8,7.24,3.78,8.32,6.92,-0.8159999999999998,-0.8159999999999998,4.506,6.097,5.976,6.254,3.67,7.818,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Social Market
France,6.593,1.733,1.535,0.832,0.743,0.099,0.264,6.593,few_shot,6.38,5.795,7.545,6.51,6.515000000000001,3.5450000000000004,5.115,6.38,-0.213,-0.213,4.061999999999999,6.01,5.678,5.772,3.446,4.851,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Gabon,5.12,1.386,1.224,0.387,0.651,0.042,0.086,5.12,few_shot,5.4,4.925,7.109999999999999,6.055,5.805,3.45,2.53,5.4,0.2800000000000002,0.2800000000000002,3.539,5.885999999999999,5.667999999999999,5.154,3.4080000000000004,2.4440000000000004,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Gambia,4.423,0.778,0.958,0.348,0.611,0.255,0.045,4.423,few_shot,5.255,4.3,7.125,5.9350000000000005,5.93,3.645000000000001,2.995,5.255,0.8319999999999999,0.8319999999999999,3.522,6.167,5.587000000000001,5.319,3.390000000000001,2.95,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Georgia,5.4,1.444,1.275,0.482,0.844,0.0,0.172,5.4,few_shot,5.625,4.845000000000001,7.229999999999999,6.14,6.0600000000000005,3.2299999999999995,3.45,5.625,0.2249999999999996,0.2249999999999996,3.4010000000000007,5.955,5.658,5.216,3.2299999999999995,3.278,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Germany,6.753,1.785,1.625,0.776,0.858,0.148,0.351,6.753,few_shot,6.505,6.01,7.615,6.56,6.834999999999999,3.735,6.445,6.505,-0.2480000000000002,-0.2480000000000002,4.225,5.99,5.784,5.976999999999999,3.587,6.094,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
Ghana,4.34,1.053,1.01,0.438,0.771,0.139,0.025,4.34,few_shot,5.34,4.345000000000001,7.1450000000000005,6.1450000000000005,6.005,3.685,2.71,5.34,1.0,1.0,3.2920000000000007,6.135000000000001,5.707000000000001,5.234,3.5460000000000003,2.685,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Greece,5.776,1.608,1.438,0.725,0.396,0.003,0.063,5.776,few_shot,5.805,4.91,7.4,6.37,6.235,3.41,3.135,5.805,0.0289999999999999,0.0289999999999999,3.302,5.962000000000001,5.6450000000000005,5.839,3.407,3.072,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Guatemala,6.362,1.249,1.33,0.376,0.882,0.075,0.085,6.362,few_shot,5.5200000000000005,4.85,7.19,6.154999999999999,5.98,3.335,2.34,5.5200000000000005,-0.8419999999999996,-0.8419999999999996,3.6009999999999995,5.86,5.778999999999999,5.098,3.26,2.255,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Guinea,4.929,0.873,0.791,0.306,0.676,0.157,0.098,4.929,few_shot,4.925,4.11,6.88,5.715,5.23,3.2550000000000003,2.165,4.925,-0.0040000000000004,-0.0040000000000004,3.237,6.089,5.409,4.553999999999999,3.0980000000000003,2.067,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Honduras,5.964,1.036,1.187,0.436,0.862,0.134,0.079,5.964,few_shot,5.265,4.5,7.115,6.1,5.755,3.2950000000000004,2.115,5.265,-0.6990000000000007,-0.6990000000000007,3.464,5.928,5.664,4.893,3.1610000000000005,2.036,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Hong Kong SAR of China,5.491,1.79,1.41,0.948,0.674,0.116,0.386,5.491,few_shot,6.025,5.765,7.27,6.415000000000001,5.43,3.615,5.305,6.025,0.5340000000000007,0.5340000000000007,3.975,5.86,5.4670000000000005,4.755999999999999,3.499,4.919,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Hungary,5.915,1.638,1.742,0.587,0.681,0.099,0.057,5.915,few_shot,5.64,4.765,7.229999999999999,6.15,5.995,3.2550000000000003,2.62,5.64,-0.2750000000000003,-0.2750000000000003,3.127,5.488,5.563000000000001,5.314,3.156,2.563,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Iceland,7.515,1.799,1.84,0.873,0.971,0.201,0.173,7.515,few_shot,6.959999999999999,6.32,7.984999999999999,6.925,7.25,4.085,7.784999999999999,6.959999999999999,-0.5550000000000006,-0.5550000000000006,4.521000000000001,6.145,6.052,6.279,3.884,7.611999999999999,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Other High Income
India,4.389,1.149,0.86,0.316,0.914,0.141,0.12,4.389,few_shot,5.68,5.1850000000000005,7.2,6.0,6.029999999999999,3.415,2.92,5.68,1.2909999999999997,1.2909999999999997,4.0360000000000005,6.34,5.684,5.116,3.274,2.8,South Asia,Lower Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Indonesia,5.617,1.288,1.372,0.454,0.918,0.323,0.044,5.617,few_shot,5.875,5.29,7.215000000000001,6.14,6.225,3.64,3.315,5.875,0.258,0.258,4.002,5.843000000000001,5.686,5.307,3.317,3.271,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Iran,5.093,1.33,1.367,0.609,0.456,0.202,0.122,5.093,few_shot,4.8100000000000005,3.695,7.040000000000001,5.96,3.6,3.285,1.845,4.8100000000000005,-0.2829999999999995,-0.2829999999999995,2.365,5.673000000000001,5.351,3.144,3.083,1.723,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Iraq,4.976,1.261,1.275,0.589,0.503,0.1,0.069,4.976,few_shot,5.0,4.55,6.94,5.875,5.16,3.47,2.02,5.0,0.024,0.024,3.289,5.665000000000001,5.286,4.657,3.37,1.951,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Ireland,6.889,1.988,1.659,0.823,0.906,0.179,0.382,6.889,few_shot,6.534999999999999,5.8950000000000005,7.654999999999999,6.595000000000001,6.784999999999999,3.98,6.065,6.534999999999999,-0.354000000000001,-0.354000000000001,3.907000000000001,5.996,5.772,5.879,3.801,5.683,Western Europe,High Income,Global North,World 1,West,Europe,Anglo-Saxon,Developed West,Market Liberal
Israel,7.234,1.695,1.743,0.824,0.74,0.144,0.193,7.234,few_shot,5.59,5.385,7.325,6.43,5.945,3.775,3.205,5.59,-1.644,-1.644,3.69,5.582,5.606,5.205,3.631,3.012,Middle East,High Income,Global North,World 1,East,Asia,Middle East Developed,Other Developed,Other High Income
Italy,6.415,1.724,1.526,0.852,0.641,0.082,0.071,6.415,few_shot,6.13,5.425,7.525,6.534999999999999,6.435,3.465,3.745,6.13,-0.2850000000000001,-0.2850000000000001,3.701,5.9990000000000006,5.682999999999999,5.794,3.383,3.674,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Jamaica,5.87,1.182,1.545,0.504,0.869,0.075,0.019,5.87,few_shot,5.59,4.86,7.24,6.24,6.085,3.625,3.055,5.59,-0.2800000000000002,-0.2800000000000002,3.678,5.695,5.736000000000001,5.216,3.55,3.036,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Japan,6.147,1.678,1.55,0.921,0.746,0.014,0.2,6.147,few_shot,6.2,5.65,7.275,6.455,6.18,3.37,6.3100000000000005,6.2,0.0529999999999999,0.0529999999999999,3.972,5.7250000000000005,5.534,5.433999999999999,3.3560000000000003,6.11,East Asia,High Income,Global North,World 1,East,Asia,Developed East Asia,Developed East Asia,State-Led Development
Jordan,4.31,1.158,1.202,0.573,0.7,0.051,0.164,4.31,few_shot,5.375,4.51,7.1450000000000005,6.12,5.475,3.535,3.22,5.375,1.0650000000000004,1.0650000000000004,3.352,5.9430000000000005,5.547000000000001,4.775,3.484,3.056,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Kazakhstan,6.378,1.586,1.688,0.504,0.878,0.111,0.118,6.378,few_shot,5.84,5.295,7.265000000000001,6.165,5.91,3.415,2.96,5.84,-0.5380000000000003,-0.5380000000000003,3.709,5.577000000000001,5.661,5.032,3.304,2.842,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Kenya,4.51,0.994,1.047,0.448,0.649,0.22,0.073,4.51,few_shot,5.445,4.63,7.154999999999999,6.13,5.955,3.625,2.495,5.445,0.9350000000000004,0.9350000000000004,3.636,6.108,5.682,5.306,3.405,2.422,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Kosovo,6.659,1.281,1.454,0.896,0.893,0.201,0.087,6.659,few_shot,5.565,4.785,7.284999999999999,6.265,6.16,3.2950000000000004,3.105,5.565,-1.0940000000000003,-1.0940000000000003,3.5040000000000004,5.831,5.369,5.267,3.0940000000000003,3.018,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Kuwait,6.629,1.691,1.481,0.766,0.934,0.143,0.167,6.629,few_shot,6.625,6.8950000000000005,7.659999999999999,6.495,6.42,4.18,3.7,6.625,-0.0039999999999995,-0.0039999999999995,5.204000000000001,6.178999999999999,5.729,5.486,4.037,3.5330000000000004,Middle East,High Income,Global North,World 1,East,Asia,Middle East Developed,Other Developed,Resource-Based
Kyrgyzstan,5.858,1.032,1.715,0.647,0.981,0.169,0.053,5.858,few_shot,5.41,4.605,7.140000000000001,6.005,5.8950000000000005,3.365,2.58,5.41,-0.4479999999999995,-0.4479999999999995,3.5729999999999995,5.425000000000001,5.358,4.914000000000001,3.196,2.527,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Lao PDR,5.301,1.122,1.01,0.493,0.916,0.145,0.164,5.301,few_shot,5.29,4.445,7.055,5.925,5.465,3.415,2.62,5.29,-0.0110000000000001,-0.0110000000000001,3.3230000000000004,6.045,5.432,4.549,3.27,2.456,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Latvia,6.207,1.619,1.711,0.503,0.789,0.108,0.082,6.207,few_shot,5.99,5.29,7.32,6.33,6.63,3.33,4.95,5.99,-0.2169999999999996,-0.2169999999999996,3.671,5.609,5.827,5.841,3.2219999999999995,4.868,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Lebanon,3.188,1.223,0.984,0.44,0.279,0.071,0.041,3.188,few_shot,4.515,3.4200000000000004,6.99,6.0200000000000005,5.035,3.25,1.31,4.515,1.3269999999999995,1.3269999999999995,2.197,6.006,5.58,4.756,3.179,1.269,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Lesotho,3.757,0.737,1.131,0.0,0.606,0.065,0.072,3.757,few_shot,5.045,4.3100000000000005,7.040000000000001,5.635,5.945,3.47,2.77,5.045,1.2879999999999998,1.2879999999999998,3.5730000000000004,5.909000000000001,5.635,5.339,3.405,2.698,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Liberia,4.277,0.582,0.888,0.324,0.653,0.143,0.068,4.277,few_shot,4.8,3.9,6.85,5.470000000000001,5.61,3.31,2.255,4.8,0.5229999999999997,0.5229999999999997,3.318,5.962,5.146000000000001,4.957000000000001,3.1670000000000003,2.187,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
